beta,velocity,success,apoapsis,delta_v,exit_velocity,max_g_load,max_total_heat_flux,max_rad_heat_flux,max_conv_heat_flux
47.0,15200.0,False,,,,,,,
47.0,15300.0,False,,,,,,,
47.0,15400.0,False,,,,,,,
47.0,15500.0,False,,,,,,,
47.0,15600.0,False,,,,,,,
47.0,15700.0,False,,,,,,,
47.0,15800.0,False,,,,,,,
47.0,15900.0,False,,,,,,,
47.0,16000.0,False,,,,,,,
47.5,14000.0,False,,,,,,,
47.5,14100.0,False,,,,,,,
47.5,14200.0,False,,,,,,,
47.5,14300.0,False,,,,,,,
47.5,14400.0,False,,,,,,,
47.5,14500.0,False,,,,,,,
47.5,14600.0,False,,,,,,,
47.5,14700.0,False,,,,,,,
47.5,14800.0,False,,,,,,,
47.5,14900.0,False,,,,,,,
47.5,15000.0,False,,,,,,,
47.5,15100.0,False,,,,,,,
47.5,15200.0,False,,,,,,,
47.5,15300.0,False,,,,,,,
47.5,15400.0,False,,,,,,,
47.5,15500.0,False,,,,,,,
47.5,15600.0,False,,,,,,,
47.5,15700.0,False,,,,,,,
47.5,15800.0,False,,,,,,,
47.5,15900.0,False,,,,,,,
47.5,16000.0,False,,,,,,,
48.0,14000.0,False,,,,,,,
48.0,14100.0,False,,,,,,,
48.0,14200.0,False,,,,,,,
48.0,14300.0,False,,,,,,,
48.0,14400.0,False,,,,,,,
48.0,14500.0,False,,,,,,,
48.0,14600.0,False,,,,,,,
48.0,14700.0,False,,,,,,,
48.0,14800.0,False,,,,,,,
48.0,14900.0,False,,,,,,,
48.0,15000.0,False,,,,,,,
48.0,15100.0,False,,,,,,,
48.0,15200.0,False,,,,,,,
48.0,15300.0,False,,,,,,,
48.0,15400.0,False,,,,,,,
48.0,15500.0,False,,,,,,,
48.0,15600.0,False,,,,,,,
48.0,15700.0,False,,,,,,,
48.0,15800.0,False,,,,,,,
48.0,15900.0,False,,,,,,,
48.0,16000.0,False,,,,,,,
48.5,14000.0,False,,,,,,,
48.5,14100.0,False,,,,,,,
48.5,14200.0,False,,,,,,,
48.5,14300.0,False,,,,,,,
48.5,14400.0,False,,,,,,,
48.5,14500.0,False,,,,,,,
48.5,14600.0,False,,,,,,,
48.5,14700.0,False,,,,,,,
48.5,14800.0,False,,,,,,,
48.5,14900.0,False,,,,,,,
48.5,15000.0,False,,,,,,,
48.5,15100.0,False,,,,,,,
48.5,15200.0,False,,,,,,,
48.5,15300.0,False,,,,,,,
48.5,15400.0,False,,,,,,,
48.5,15500.0,False,,,,,,,
48.5,15600.0,False,,,,,,,
48.5,15700.0,False,,,,,,,
48.5,15800.0,False,,,,,,,
48.5,15900.0,False,,,,,,,
48.5,16000.0,False,,,,,,,
49.0,14000.0,False,,,,,,,
49.0,14100.0,False,,,,,,,
49.0,14200.0,False,,,,,,,
49.0,14300.0,False,,,,,,,
49.0,14400.0,False,,,,,,,
49.0,14500.0,False,,,,,,,
49.0,14600.0,False,,,,,,,
49.0,14700.0,False,,,,,,,
49.0,14800.0,False,,,,,,,
49.0,14900.0,False,,,,,,,
49.0,15000.0,False,,,,,,,
49.0,15100.0,False,,,,,,,
49.0,15200.0,False,,,,,,,
49.0,15300.0,False,,,,,,,
49.0,15400.0,False,,,,,,,
49.0,15500.0,False,,,,,,,
49.0,15600.0,False,,,,,,,
49.0,15700.0,False,,,,,,,
49.0,15800.0,False,,,,,,,
49.0,15900.0,False,,,,,,,
49.0,16000.0,False,,,,,,,
49.5,14000.0,False,,,,,,,
49.5,14100.0,False,,,,,,,
49.5,14200.0,False,,,,,,,
49.5,14300.0,False,,,,,,,
49.5,14400.0,False,,,,,,,
49.5,14500.0,False,,,,,,,
49.5,14600.0,False,,,,,,,
49.5,14700.0,False,,,,,,,
49.5,14800.0,False,,,,,,,
49.5,14900.0,False,,,,,,,
49.5,15000.0,False,,,,,,,
49.5,15100.0,False,,,,,,,
49.5,15200.0,False,,,,,,,
49.5,15300.0,False,,,,,,,
49.5,15400.0,False,,,,,,,
49.5,15500.0,False,,,,,,,
49.5,15600.0,False,,,,,,,
49.5,15700.0,False,,,,,,,
49.5,15800.0,False,,,,,,,
49.5,15900.0,False,,,,,,,
49.5,16000.0,False,,,,,,,
50.0,14000.0,False,,,,,,,
50.0,14100.0,False,,,,,,,
50.0,14200.0,False,,,,,,,
50.0,14300.0,False,,,,,,,
50.0,14400.0,False,,,,,,,
50.0,14500.0,False,,,,,,,
50.0,14600.0,False,,,,,,,
50.0,14700.0,False,,,,,,,
50.0,14800.0,False,,,,,,,
50.0,14900.0,False,,,,,,,
50.0,15000.0,False,,,,,,,
50.0,15100.0,False,,,,,,,
50.0,15200.0,False,,,,,,,
50.0,15300.0,False,,,,,,,
50.0,15400.0,False,,,,,,,
50.0,15500.0,False,,,,,,,
50.0,15600.0,False,,,,,,,
50.0,15700.0,False,,,,,,,
50.0,15800.0,False,,,,,,,
50.0,15900.0,False,,,,,,,
50.0,16000.0,False,,,,,,,
